Attendance,Home Score,Home 1st Q,Home FG%,Home 3pt%,Home FT%,Away Score,Away 1st Q,Away FG%,Away 3pt%,Away FT%
19520,112,21,47.3,32.1,88.2,87,19,40.5,25.0,78.9
19596,125,24,56.5,53.1,75.0,97,27,40.9,37.5,54.5
18997,90,22,45.6,30.4,61.1,83,16,38.8,17.4,76.5
19432,117,29,48.9,31.8,75.9,108,30,50.0,38.5,67.9
15165,124,37,56.7,34.5,52.2,114,34,47.8,35.5,81.0
18203,98,23,35.9,23.1,65.2,105,33,41.1,33.3,70.8
17119,111,20,40.8,20.6,87.0,96,22,39.5,30.3,71.0
19596,117,28,46.6,29.4,86.2,116,29,43.3,39.3,72.4
17559,135,37,57.0,37.5,75.9,129,36,53.3,47.6,75.0
20226,113,32,48.3,39.0,61.9,104,26,47.7,35.7,92.3
18997,104,29,46.8,38.5,64.5,108,19,45.2,35.5,92.9
14413,118,27,46.2,39.0,64.0,107,32,51.2,32.0,71.4
19800,125,36,52.2,31.4,80.0,115,29,41.1,41.7,68.8
15217,125,32,56.8,40.0,75.0,127,25,48.4,41.4,81.8
12977,124,32,53.2,41.0,72.7,123,43,44.6,40.0,82.1
14331,98,26,44.2,36.7,57.9,103,21,37.4,36.4,84.4
16048,112,26,47.1,39.1,74.2,133,30,53.3,33.3,75.8
19138,100,28,43.3,21.1,80.0,104,24,42.2,20.0,67.6
13805,110,32,46.9,44.8,70.0,107,35,41.1,34.8,81.0
16872,135,30,56.2,37.9,75.0,131,42,47.4,37.5,77.8
19432,95,26,41.9,32.3,92.9,102,29,46.5,30.8,73.7
19006,107,27,46.7,42.4,81.8,108,27,48.4,33.3,88.9
15189,107,21,44.2,37.5,93.1,124,34,49.5,48.7,90.0
18306,88,25,42.0,25.8,70.6,121,33,58.3,50.0,82.4
19596,116,26,48.8,37.1,91.3,110,25,44.4,46.7,76.2
13935,115,24,47.5,29.2,71.1,108,19,39.6,33.3,84.4
19600,113,38,46.0,34.2,66.7,115,35,47.5,38.7,84.4
14187,114,32,50.6,34.5,85.7,122,31,60.9,54.5,71.4
19583,117,30,48.5,36.0,93.3,85,26,39.1,14.3,66.7
13038,104,26,44.6,33.3,66.7,109,26,42.2,42.3,75.9
20274,117,41,54.0,48.0,68.8,91,27,34.8,20.7,95.5
12971,108,24,45.8,20.0,75.7,94,28,34.4,25.0,86.4
12928,91,16,34.9,36.7,71.4,101,17,47.6,32.1,66.7
18055,108,28,46.0,28.9,65.2,128,36,54.1,50.0,79.2
18203,100,21,47.7,22.2,80.0,83,28,39.3,39.1,44.4
13570,125,31,48.4,30.6,78.6,104,24,43.2,33.3,56.3
11023,128,28,50.5,43.9,66.7,89,25,39.1,29.6,100.0
16660,116,30,49.4,34.3,75.0,113,40,44.9,29.7,75.9
18865,115,33,43.5,48.7,68.8,112,30,51.9,46.7,93.3
16372,115,26,46.5,52.4,75.0,99,22,43.8,30.8,72.2
20073,131,38,52.2,39.5,91.7,128,25,48.5,36.7,85.0
17583,121,26,47.9,29.2,84.6,133,42,55.6,42.9,75.0
18997,104,38,48.8,29.2,56.5,96,15,37.2,43.5,81.5
20400,123,31,43.9,31.6,75.8,98,19,40.2,28.6,84.2
15372,107,34,44.6,38.2,75.0,88,21,43.0,14.3,78.6
15812,111,19,49.5,32.1,61.5,119,33,54.3,45.0,72.2
18624,128,30,53.3,54.8,81.3,95,26,39.0,31.8,80.0
12983,125,26,44.7,36.4,83.3,131,26,49.5,40.0,86.4
18203,124,28,52.3,43.9,93.3,109,26,44.8,30.6,60.0
19600,106,37,43.0,33.3,62.5,101,17,42.7,21.4,86.2
18354,105,23,45.3,35.7,85.0,136,39,50.0,40.7,80.0
13228,85,25,40.5,25.0,71.4,99,21,47.6,29.6,72.2
18997,114,22,48.8,30.0,65.6,103,32,39.5,25.6,73.5
19459,112,26,52.9,27.3,76.2,113,38,46.0,46.7,73.1
19812,136,28,53.1,58.8,66.7,134,35,48.9,42.9,77.4
15448,102,24,51.9,30.8,66.7,88,19,37.0,24.2,80.0
20332,111,24,43.9,34.3,65.0,102,24,45.9,23.1,85.7
17663,109,26,45.1,32.1,81.3,118,29,47.1,38.6,100.0
18055,121,38,50.0,39.0,70.0,105,22,44.3,25.0,79.2
19432,95,21,38.6,22.7,88.0,106,21,48.8,26.9,84.0
17583,111,26,45.1,44.8,66.7,110,30,52.4,41.7,77.8
18997,120,21,50.0,40.7,73.9,96,31,39.8,39.4,81.8
15336,109,30,42.9,27.8,75.0,119,29,51.2,34.4,83.3
20334,103,26,48.6,36.4,76.7,95,25,41.8,39.3,78.3
19600,102,27,39.6,41.9,70.8,100,35,43.8,33.3,73.3
19551,114,34,44.2,34.8,84.6,110,35,44.2,37.5,77.3
18354,131,32,60.2,73.3,90.9,118,33,52.3,41.4,100.0
14372,83,17,33.0,18.8,78.9,110,26,50.6,28.0,85.0
19800,103,24,46.0,26.8,100.0,106,27,44.9,39.3,62.5
19440,107,32,41.1,35.3,75.0,110,26,47.8,40.6,75.0
16631,111,17,48.9,19.2,75.0,128,34,58.5,54.2,86.4
10983,97,29,39.4,25.0,56.3,99,30,43.2,26.7,95.0
13822,126,29,53.3,38.2,68.2,129,36,59.0,40.0,76.7
13834,103,24,43.9,50.0,71.4,91,24,43.2,28.2,84.2
16446,96,23,46.1,27.3,83.3,90,21,39.4,35.5,100.0
19600,90,25,41.8,34.3,40.0,105,27,44.2,50.0,75.0
19341,111,34,43.2,36.7,68.6,102,20,45.2,29.2,82.6
12977,105,9,43.7,27.9,81.0,122,36,53.6,45.8,65.6
18306,139,34,60.7,60.6,85.0,105,20,48.9,31.8,90.9
16636,118,28,47.4,40.8,100.0,124,31,54.9,57.9,62.2
19432,105,25,43.8,34.4,69.6,129,31,52.9,52.9,87.5
12551,117,25,44.6,31.6,74.2,131,33,48.4,31.6,84.4
13161,112,26,43.0,41.7,76.7,114,24,43.4,34.2,57.7
19800,113,23,43.0,27.6,86.4,102,29,45.5,31.4,78.6
14810,132,32,55.4,58.6,65.0,106,31,42.9,30.4,66.7
11248,121,31,53.9,50.0,65.0,104,31,40.8,36.4,80.0
14144,96,27,43.5,25.0,62.5,86,15,33.8,34.8,80.0
16541,115,30,46.3,34.1,83.3,92,21,36.8,23.7,68.4
18997,121,31,47.7,35.9,69.7,113,23,44.8,25.9,100.0
18624,128,38,53.3,34.2,85.0,100,30,39.6,34.3,80.0
